name,description,attributes[Effects],attributes[Textures],attributes[Slider 1],attributes[Slider 2]
Refract Pass #1,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Swirl + Geotile + Radial,refrac_02 + reg4,~49%,~49%
Refract Pass #2,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Geotile + Halo + jambler,refrac_09 + semi3464,~49%,~49%
Refract Pass #3,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Geotile + Halo + Radial,refrac_08 + reg4,~49%,~49%
Refract Pass #4,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Halo + Squiggle + Lensman + Squiggle,refrac_03 + dichro,~49%,~49%
Refract Pass #5,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Grainary + Radial + Papier + Geotile,refrac_09 + Brick,~0%,~0%
Refract Pass #6,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Polytone + Halo + Slow,refrac_05 + Brunch,~49%,~49%
Refract Pass #7,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Edgy + Geotile + Slider + Slick,refrac_02 + semi33344,~49%,~49%
Refract Pass #8,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Tape + Squiggle + Prism OJ + jambler,refrac_05,~0%,~0%
Refract Pass #9,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Rotopane + Polytone + Squiggle + Squiggle,refrac_07 + Paranoi3,~49%,~49%
Refract Pass #10,"The REFRACT Pass will act as the main point of access to RefractionDAO. It is an evolving NFT that will offer long-term, expanded utilities for our members.The Pass was created by Refraction using our generative art app, Generate. 1000 editions will be available, each with a unique gradient design.",Fresnel + Rotopane + Fresnel + Slider,refrac_08,~49%,~49%
